n,pv_share,scale_mode,lam,base_ok,v_min_base,tpf_conv,k_out,k_in,eps_med,q_max,v_min,v_max,nr_conv
40,0.25,load,7.953846153846155,True,0.683163203101023,True,9.0,71.0,1.938905288418053e-05,0.08121148059614512,0.6882558909094966,0.9954435495950725,True
40,0.25,load,8.507692307692308,True,0.6417528383748305,True,13.0,114.0,1.8430282802583626e-05,0.0808457799736349,0.646865246982385,0.9947270133871257,True
40,0.25,load,9.061538461538461,True,0.5892119306668592,True,27.0,336.0,4.795145302662129e-05,0.08047950140156547,0.5943560817450113,0.9940068670719989,True
40,0.25,load,9.615384615384615,True,0.5020700046692517,False,60.0,10024.0,0.006627509810282956,0.0801126358991524,0.46916992624392734,0.9932830592767085,True
40,0.25,load,10.169230769230769,False,,,,,,,,,
40,0.25,load,10.723076923076922,False,,,,,,,,,
40,0.25,load_pv,0.2,True,0.9954600640595443,True,3.0,8.0,3.922805420137335e-05,0.08626267832157374,1.0004609846140697,1.0048305885773132,True
40,0.25,load_pv,0.7538461538461538,True,0.9826911147448707,True,3.0,9.0,0.0001518555326524113,0.08591033106507025,0.9876952926140085,1.004361137749554,True
40,0.25,load_pv,1.3076923076923077,True,0.9696168011557812,True,3.0,10.0,0.0002705171038279461,0.08555777774760143,0.9746243911729231,1.0038902088931587,True
40,0.25,load_pv,1.8615384615384616,True,0.9562144462971841,True,3.0,11.0,0.00039629088918823036,0.08520494370752184,0.9612258093944884,1.0034177844750474,True
40,0.25,load_pv,2.4153846153846157,True,0.9424584155070629,True,4.0,14.0,5.948206518848856e-06,0.08485456656377682,0.9474729730953914,1.0029440083942147,True
40,0.25,load_pv,2.9692307692307693,True,0.9283195462947781,True,4.0,13.0,8.79806820671685e-06,0.08450096950993444,0.9333379746383648,1.0024685393665904,True
40,0.25,load_pv,3.5230769230769234,True,0.9137644285944831,True,4.0,16.0,1.2726168083438042e-05,0.08414715329780226,0.918786903290248,1.00199153649814,True
40,0.25,load_pv,4.0769230769230775,True,0.8987544843693446,True,4.0,17.0,1.1998177385666424e-05,0.08379311442671238,0.9037811957146351,1.0015129852828377,True
40,0.25,load_pv,4.630769230769231,True,0.8832447736993746,True,5.0,21.0,6.899894757473162e-06,0.08343886293798285,0.8882766888519569,1.0010328718156183,True
40,0.25,load_pv,5.184615384615385,True,0.8671824209889891,True,5.0,22.0,9.039835479909998e-06,0.0830843711231456,0.8722195299651074,1.0005511796522524,True
40,0.25,load_pv,5.7384615384615385,True,0.8505045020192379,True,5.0,24.0,1.5918410928138138e-05,0.08272965070707612,0.8555474098304087,1.0000678944931805,True
40,0.25,load_pv,6.292307692307693,True,0.8331351473708348,True,5.0,26.0,2.5545155725022795e-05,0.08237469935645472,0.8381847254911255,0.999583000949111,True
40,0.25,load_pv,6.846153846153847,True,0.8149814748823963,True,6.0,30.0,3.6388021461555667e-06,0.08201951471942301,0.8200370606052443,0.9990964833756706,True
40,0.25,load_pv,7.4,True,0.7959277142337065,True,6.0,34.0,6.351304109644426e-06,0.08166409433128843,0.8009905416006396,0.9986083258695025,True
40,0.25,load_pv,7.953846153846155,True,0.7758264326565039,True,7.0,39.0,6.403454735062975e-06,0.08130843577262509,0.7808978142820351,0.998118512261795,True
40,0.25,load_pv,8.507692307692308,True,0.754484894372283,True,7.0,44.0,1.1702376872981028e-05,0.08095253654718297,0.759565989427547,0.9976270261104534,True
