n,lam,z_rel,load_scale,p_tot,conv,k_in_12,k_in_6,k_pred,eta_emp,eta_r2,eta1,eta2,etainf,eta2_nom,v_min,feas_min,kappa,kappa_n
40,7.676923076923077,1.0,0.0017346032184886,0.5326566190928321,True,29,14,27.733632038423213,0.3902415575987186,0.99985880233654,0.5334797944768687,0.3941884137662706,0.4701611002332073,0.2058405085574942,0.685695017365738,15.448693052674315,0.023900573096138873,0.0005975143274034718
40,7.953846153846155,1.0,0.0017346032184886,0.5518706855130145,True,31,15,30.509187945130783,0.4246512745151876,0.999844027969178,0.5857199953303935,0.4291539926379027,0.5107923601473487,0.2132656170826142,0.6661007994037423,14.910827530530916,0.0236883687602288,0.00059220921900572
40,8.23076923076923,1.0,0.0017346032184886,0.5710847519331967,True,35,17,34.05582414786449,0.4638273999928125,0.9998175088294216,0.6471919609905388,0.4696627247840743,0.557631037353927,0.2206907256077343,0.6446144585318677,14.40915482856913,0.02341618064652286,0.0005854045161630716
40,8.507692307692308,1.0,0.0017346032184886,0.5902988183533792,True,39,19,38.972078260669925,0.5106186832993115,0.999766613123317,0.721833959777683,0.5179854660589679,0.6131720603554888,0.2281158341328543,0.6205597721346273,13.94014074734988,0.02311277889293272,0.0005778194723233181
40,8.784615384615384,1.0,0.0017346032184886,0.6095128847735614,True,46,22,46.47075562651291,0.5687448284573743,0.999672286314644,0.8169777456589009,0.5783104017410395,0.6819930960034194,0.2355409426579744,0.5927241864969849,13.500696730795944,0.022745736704559136,0.0005686434176139784
40,9.06153846153846,1.0,0.0017346032184886,0.6287269511937438,True,59,27,60.33422946512953,0.6471761004973959,0.9994878267181334,0.949308388658196,0.6600692126160631,0.774340188651624,0.2429660511830943,0.5584620890225088,13.08811177128096,0.02227449803556666,0.0005568624508891665
40,9.33846153846154,1.0,0.0017346032184886,0.6479410176139261,True,98,43,104.31968368560914,0.777295255696343,0.998741523545256,1.1790922557100976,0.7968945716814512,0.9264610470188104,0.2503911597082144,0.5086981526853716,12.699996430452195,0.021539271153717916,0.0005384817788429479
120,0.2,1.0,0.0001531013985555,0.0036744335653325,True,6,3,4.307972552999169,0.0054091858679883,0.9998456084548656,0.0066131774668016,0.0053991047807793,0.0066006981161711,0.005343751884823,0.9941346208494592,2090.1884785487614,0.02672959053207821,0.00022274658776731842
120,0.4769230769230769,1.0,0.0001531013985555,0.0087621108096392,True,7,4,5.356978055357407,0.0127838792410791,0.9998917671890656,0.0160342412025817,0.0130636005278005,0.015961258635472,0.0127427929561165,0.985905414289406,876.530652294642,0.026054624929074028,0.00021712187440895025
120,0.7538461538461538,1.0,0.0001531013985555,0.0138497880539458,True,8,4,6.161541181000636,0.0209747395949966,0.9998969637178536,0.0257797819980314,0.0209591350486302,0.0255921220426263,0.0201418340274101,0.977545612169403,554.5398004313041,0.026588137475552873,0.00022156781229627393
120,1.0307692307692309,1.0,0.0001531013985555,0.0189374652982524,True,8,4,6.802088872498906,0.0288293441163997,0.999919099419021,0.0358707602100928,0.0290997819454171,0.0355094153726729,0.0275408750987036,0.9690489646157224,405.5589585243866,0.026264235249830202,0.00021886862708191834
120,1.3076923076923077,1.0,0.0001531013985555,0.0240251425425591,True,9,5,7.397723499120585,0.0371482226336915,0.9999056602288732,0.0463301783278638,0.0375009363805323,0.0457307610567915,0.0349399161699971,0.9604087051480314,319.67588495451645,0.0262026156374566,0.00021835513031213832
120,1.5846153846153843,1.0,0.0001531013985555,0.0291128197868657,True,9,5,7.983742823037597,0.0461870024900084,0.9999151835385672,0.0571833529621105,0.0461794866593821,0.0562754693679042,0.0423389572412905,0.9516174887937536,263.8101963216884,0.026394943664546238,0.00021995786387121865
120,1.8615384615384616,1.0,0.0001531013985555,0.0342004970311723,True,10,5,8.52786892567528,0.0551552953338408,0.9999037631688852,0.0684582336014824,0.055154014766,0.067164763123428,0.0497379983125841,0.9426673203268588,224.56570430689172,0.026328862947115752,0.0002194071912259646
120,2.138461538461539,1.0,0.0001531013985555,0.039288174275479,True,11,6,9.043514168350308,0.0640819876013056,0.9999200329624102,0.0801857781376551,0.0644450319546997,0.0784220414092073,0.0571370393838776,0.9335494706348396,195.4852533894525,0.02611615298760018,0.0002176346082300015
120,2.415384615384616,1.0,0.0001531013985555,0.0443758515197856,True,11,6,9.571901122588864,0.0736436815563933,0.9999105851943104,0.0924003977552413,0.0740752570655997,0.090073190815118,0.0645360804551711,0.9242543787188304,173.0729313448019,0.026045471816504667,0.00021704559847087222
120,2.6923076923076925,1.0,0.0001531013985555,0.0494635287640922,True,12,6,10.125005658137466,0.0840267550014477,0.9999181932754896,0.1051404871752742,0.0840699472739908,0.1021469549244435,0.0719351215264646,0.9147715361908876,155.27114412076514,0.026116693088282062,0.00021763910906901719
120,2.9692307692307693,1.0,0.0001531013985555,0.0545512060083989,True,12,6,10.664709242867357,0.0943870734738008,0.9999089662459194,0.1184490607238774,0.0944572936756368,0.1146753757648251,0.0793341625977581,0.9050893502877688,140.7898975188285,0.026040629466630254,0.00021700524555525212
120,3.2461538461538466,1.0,0.0001531013985555,0.0596388832527055,True,13,7,11.198544709252738,0.1048019459562792,0.9999204601988642,0.1323745206812916,0.1052688976953412,0.1276943248747151,0.0867332036690517,0.8951949803033982,128.77938493428388,0.025872328961755457,0.00021560274134796214
120,3.5230769230769234,1.0,0.0001531013985555,0.0647265604970121,True,13,7,11.763209101036283,0.1159896312590874,0.999911809883728,0.1469715924414129,0.1165403491332332,0.1412441469474715,0.0941322447403451,0.8850741408504706,118.65698786521354,0.025790297175759463,0.00021491914313132886
120,3.8,1.0,0.0001531013985555,0.0698142377413188,True,14,7,12.369377278037094,0.1281318490062758,0.9999167778341618,0.1623024720440115,0.1283119332426919,0.1553704462438622,0.1015312858116386,0.8747108633346967,110.00991992361902,0.02579898007369934,0.00021499150061416117
120,4.0769230769230775,1.0,0.0001531013985555,0.0749019149856254,True,14,7,12.979819538568568,0.1403831975044191,0.9999074061122882,0.1784382469071613,0.1406295033160502,0.1701250559325969,0.1089303268829322,0.8640872042534004,102.53754800427886,0.02570974450357631,0.0002142478708631359
120,4.353846153846154,1.0,0.0001531013985555,0.079989592229932,True,15,8,13.602685472539044,0.152863837018744,0.9999157985390206,0.195460672020066,0.1535455679750088,0.1855672444678422,0.1163293679542256,0.8531828850616034,96.01572516301732,0.025557357467443108,0.00021297797889535924
120,4.630769230769231,1.0,0.0001531013985555,0.0850772694742387,True,16,8,14.27536327375926,0.1663059612332562,0.9999060676235896,0.2134644144097328,0.1671206604513644,0.2017652329285592,0.1237284090255192,0.8419748428976559,90.27392100044484,0.025459678133542135,0.00021216398444618445
120,4.907692307692308,1.0,0.0001531013985555,0.0901649467185453,True,16,8,15.01247599542685,0.1809347230115945,0.9999079914926808,0.2325599230148207,0.1814250833169444,0.2187981258882184,0.1311274500968127,0.8304366636083144,85.18009473709688,0.025424804570130077,0.00021187337141775065
