n,pv_share,setpoint_mode,lam,ell,k_in,err,v_min,q_max,tol_eff,dq_max,eps_med,eps_max,eps_cf_med
40,0.1,calibrated,7.4,4,6,7.371485991736204e-05,0.7250289272634357,0.08096810370259137,1e-06,0.00015125997491661418,1.6265512489122098e-05,4.773881703223294e-05,7.615984266397701e-05
40,0.1,calibrated,7.4,5,5,1.589552042635667e-05,0.7251187117475708,0.08096810393107898,1e-06,3.388015304555006e-05,3.2413911646037987e-06,1.0691309766191306e-05,1.657147831603162e-05
40,0.1,calibrated,7.4,6,4,3.092938021587166e-06,0.7250996670304307,0.08096810393219378,1e-06,7.061878246757566e-06,5.896789892486977e-07,2.2285337571306572e-06,3.2875000004749113e-06
40,0.1,calibrated,7.4,7,2,1.821699707749147e-07,0.7251028100636293,0.0809681039322014,1e-06,0.0,,,
40,0.1,calibrated,7.676923076923077,1,13,0.006692982780043044,0.7140968411077624,0.0,1e-06,0.08076825516559007,0.005714033572913869,0.0074415907838016,0.005651664849612519
40,0.1,calibrated,7.676923076923077,2,10,0.0018082059494102243,0.7063803198692633,0.08076825516559007,1e-06,0.0022691571874552544,0.00043754303527569245,0.0012575400039464585,0.0017527378590575912
40,0.1,calibrated,7.676923076923077,3,8,0.0004926159334113223,0.7086776044084446,0.08076055779629074,1e-06,0.0009174720603765238,0.00012563928338714538,0.00029516030649255674,0.0005064135069937841
40,0.1,calibrated,7.676923076923077,4,8,0.00012850339082748352,0.7080552558610103,0.08076052192692613,1e-06,0.0002545235327102119,2.9537001583983018e-05,8.196128745066848e-05,0.0001336543485044126
40,0.1,calibrated,7.676923076923077,5,6,3.304147447680261e-05,0.7082171500216988,0.08076052175979137,1e-06,6.661130608497296e-05,7.340927090189488e-06,2.144460568478814e-05,3.4482915616445354e-05
40,0.1,calibrated,7.676923076923077,6,4,7.566128812031003e-06,0.7081764584553275,0.08076052175901453,1e-06,1.6461981789946827e-05,1.5124457929218245e-06,5.300056070092027e-06,8.0698456473412e-06
40,0.1,calibrated,7.676923076923077,7,3,9.933366856840209e-07,0.7081850315696916,0.08076052175901073,1e-06,0.0,,,
40,0.1,calibrated,7.953846153846155,1,13,0.007800715322965779,0.6970635475624702,0.0,1e-06,0.08057788897130996,0.006093302505813301,0.008136409948939315,0.006354648334747294
40,0.1,calibrated,7.953846153846155,2,10,0.0024116141186821816,0.6876793752810787,0.08057788897130996,1e-06,0.00313613070466071,0.0006111778565998016,0.0016342742131342642,0.0023844568399684803
40,0.1,calibrated,7.953846153846155,3,10,0.000760408423564285,0.6908495142588797,0.08055277201253994,1e-06,0.0013805038802872827,0.0001977190233369488,0.0004536118486815735,0.0007890902632166118
40,0.1,calibrated,7.953846153846155,4,8,0.00023122532863795175,0.689855544993373,0.08055266056512764,1e-06,0.00044091625354880453,5.544356026881171e-05,0.00014509864070549495,0.00024232968501497706
40,0.1,calibrated,7.953846153846155,5,6,6.882139814679e-05,0.6901563134303531,0.08055266007078246,1e-06,0.00013395695047456582,1.587293212449331e-05,4.4062461585037254e-05,7.2429563874694e-05
40,0.1,calibrated,7.953846153846155,6,6,1.9555874595789113e-05,0.6900676879108723,0.08055266006858809,1e-06,3.9260005212793196e-05,4.23077895708409e-06,1.2915598693541058e-05,2.0756273463416177e-05
40,0.1,calibrated,7.953846153846155,7,4,5.034884397736583e-06,0.6900923749896618,0.08055266006858047,1e-06,1.0824191056279142e-05,1.0499871712209835e-06,3.5607576016163445e-06,5.447769546283214e-06
40,0.1,calibrated,7.953846153846155,8,2,3.1311454717908305e-07,0.690087345062789,0.08055266006858047,1e-06,0.0,,,
40,0.1,calibrated,8.23076923076923,1,15,0.009126730763151403,0.6787855702685645,0.0,1e-06,0.08038736365369459,0.006555581562819639,0.008938381973448676,0.007224043927703084
40,0.1,calibrated,8.23076923076923,2,12,0.003283706133939246,0.667247772311528,0.08038736365369459,1e-06,0.004367303180627906,0.0008651348103196378,0.0021807883541216117,0.0033125964662040295
40,0.1,calibrated,8.23076923076923,3,10,0.001215522766258914,0.6717488114133093,0.08034469665399754,1e-06,0.0021395614197010286,0.0003240921058451463,0.0007192007796439935,0.0012735263934092861
40,0.1,calibrated,8.23076923076923,4,10,0.00043589951354583434,0.6700927407975552,0.08034451695392873,1e-06,0.0007974375620677804,0.00010929118473180981,0.0002687289135404739,0.00046085285050012637
40,0.1,calibrated,8.23076923076923,5,8,0.0001557902695882296,0.6706861442668359,0.08034451619753782,1e-06,0.0002875831550580602,3.843348213025962e-05,9.682427946873211e-05,0.00016482183317648345
40,0.1,calibrated,8.23076923076923,6,6,5.409763012365065e-05,0.6704756558616765,0.08034451619435241,1e-06,0.00010155474677459467,1.2928537010002869e-05,3.420287138632488e-05,5.751080758535063e-05
