n,pv_share,lam,q_init_mode,conv,k_out,k_in,eps_med,q_max,t_ms
40,0.5,7.4,continuation,True,6,38,2.264319151243564e-07,0.08163458689551259,0.6304000271484256
40,0.5,7.676923076923077,cold_q0,True,9,68,1.2781400442264027e-06,0.0814546669370998,1.0130000300705433
40,0.5,7.676923076923077,continuation,True,7,45,2.1910551230581127e-07,0.08145466693710549,0.750300008803606
40,0.5,7.953846153846155,cold_q0,True,10,78,1.0665395492536725e-06,0.0812746223208814,1.253900001756847
40,0.5,7.953846153846155,continuation,True,7,50,3.477516852432117e-07,0.08127462232087898,1.05189997702837
40,0.5,8.23076923076923,cold_q0,True,11,96,1.8251658875892102e-06,0.08109445213201012,1.5619000187143683
40,0.5,8.23076923076923,continuation,True,8,60,3.1362807018241534e-07,0.08109445213200821,1.1006999993696809
40,0.5,8.507692307692308,cold_q0,True,13,126,2.2304403394836437e-06,0.08091415544456748,2.6074000634253025
40,0.5,8.507692307692308,continuation,True,10,80,2.6784058249270577e-07,0.08091415544456605,1.4018999645486474
40,0.5,8.784615384615384,cold_q0,True,17,187,2.71282418091392e-06,0.08073373132138943,2.5933999568223953
40,0.5,8.784615384615384,continuation,True,12,108,4.407917294764664e-07,0.08073373132138942,1.6069000121206045
40,0.5,9.061538461538461,cold_q0,True,30,388,3.7205209541402206e-06,0.08055317881388066,5.29359991196543
40,0.5,9.061538461538461,continuation,True,20,211,6.154639926882418e-07,0.08055317881388206,3.252499969676137
40,0.5,9.338461538461539,cold_q0,False,60,5165,0.0003579536466297328,0.08037249696177667,54.89429994486272
40,0.5,9.338461538461539,continuation,False,60,2573,0.0001119982482627248,0.0803724969617762,28.77119998447597
120,0.1,0.2,cold_q0,True,3,8,1.0908163888653989e-05,0.08638148007418839,1.0412000119686127
120,0.1,0.2,continuation,True,3,8,1.0908163888653989e-05,0.08638148007418839,0.9115999564528465
120,0.1,0.47692307692307695,cold_q0,True,3,8,3.0301806102100228e-05,0.08636670485472761,1.0146000422537327
120,0.1,0.47692307692307695,continuation,True,2,5,2.365833403171449e-05,0.0863710672951712,0.5242000333964825
120,0.1,0.7538461538461538,cold_q0,True,3,9,5.034986184423634e-05,0.08635192960412867,0.9684000397101045
120,0.1,0.7538461538461538,continuation,True,3,9,1.2050948453936415e-05,0.08635622844441221,0.9682999225333333
120,0.1,1.0307692307692309,cold_q0,True,3,10,7.131474682709232e-05,0.0863371965927649,0.9493000106886029
120,0.1,1.0307692307692309,continuation,True,3,9,1.2463582372922362e-05,0.0863414489836407,0.9566000662744045
120,0.1,1.3076923076923077,cold_q0,True,3,10,9.304569156103808e-05,0.08632242123245228,0.9948000079020858
120,0.1,1.3076923076923077,continuation,True,3,9,1.2857035766366445e-05,0.08632666949988971,0.8914999198168516
120,0.1,1.5846153846153845,cold_q0,True,3,11,0.00011537097428833754,0.08630764584116335,1.6012000851333141
120,0.1,1.5846153846153845,continuation,True,3,10,1.329836887507585e-05,0.08631188998517765,1.094199949875474
120,0.1,1.8615384615384616,cold_q0,True,3,11,0.00013881245749964736,0.08629287041888194,1.0859000030905008
120,0.1,1.8615384615384616,continuation,True,3,10,1.3778641903112484e-05,0.08629711044374665,1.0640999535098672
120,0.1,2.138461538461539,cold_q0,True,3,11,0.00016317760908529183,0.08627809496562802,1.2131000403314829
120,0.1,2.138461538461539,continuation,True,3,10,1.4297318891757283e-05,0.08628233087346611,1.092500053346157
120,0.1,2.4153846153846157,cold_q0,True,3,11,0.00018830736146309058,0.08626331948138068,1.1495000217109919
120,0.1,2.4153846153846157,continuation,True,3,11,1.4868348887851857e-05,0.08626755126713699,1.0860000038519502
120,0.1,2.6923076923076925,cold_q0,True,4,15,2.262778799481734e-06,0.08625272816671638,1.8101000459864736
120,0.1,2.6923076923076925,continuation,True,3,12,1.548569768382283e-05,0.08625277163918978,1.2520999880507588
120,0.1,2.9692307692307693,cold_q0,True,4,15,3.7656631865533407e-06,0.08623794856512444,1.5443000011146069
120,0.1,2.9692307692307693,continuation,True,3,12,1.6160164936389576e-05,0.08623799198236066,1.2664999812841415
120,0.1,3.2461538461538466,cold_q0,True,4,15,4.751227742880956e-06,0.08622316893463443,1.5779000241309404
120,0.1,3.2461538461538466,continuation,True,3,12,1.682655425436398e-05,0.08622321229668203,1.558799995109439
120,0.1,3.5230769230769234,cold_q0,True,4,17,6.154744309564046e-06,0.08620838927319571,1.715900027193129
120,0.1,3.5230769230769234,continuation,True,3,13,1.7546350484554195e-05,0.08620843258214625,1.5696999616920948
120,0.1,3.8000000000000003,cold_q0,True,4,18,7.840608530753605e-06,0.08619360979200562,1.8035999964922667
120,0.1,3.8000000000000003,continuation,True,3,14,1.8336899122885725e-05,0.0861936528387438,1.4278000453487039
120,0.1,4.0769230769230775,cold_q0,True,4,18,9.620627856613962e-06,0.08617883007447388,2.314800047315657
120,0.1,4.0769230769230775,continuation,True,4,16,1.012054297879805e-06,0.0861788716380728,1.7202000599354506
120,0.1,4.353846153846154,cold_q0,True,4,18,1.151178946013072e-05,0.08616405032803455,1.9298999104648829
120,0.1,4.353846153846154,continuation,True,4,16,1.1822781064296252e-06,0.08616409183785856,1.9100999925285578
120,0.1,4.630769230769231,cold_q0,True,4,20,1.3514743455955029e-05,0.0861492705526819,2.0179999992251396
120,0.1,4.630769230769231,continuation,True,4,17,1.3770517756884984e-06,0.08614931200878148,2.014799974858761
120,0.1,4.907692307692308,cold_q0,True,5,22,8.232421408358311e-06,0.0861345317260441,2.2996000479906797
120,0.1,4.907692307692308,continuation,True,4,17,1.6005379012276449e-06,0.08613453215082822,1.8034999957308173
120,0.1,5.184615384615385,cold_q0,True,5,22,9.573331089932205e-06,0.08611975183990486,2.440100070089102
120,0.1,5.184615384615385,continuation,True,4,18,1.857069094709599e-06,0.08611975226394357,2.2357000270858407
120,0.1,5.461538461538462,cold_q0,True,5,25,1.0534988870719479e-05,0.08610497192690482,2.8465999057516456
120,0.1,5.461538461538462,continuation,True,4,20,2.1547039447588803e-06,0.08610497234826078,2.020200015977025
120,0.1,5.7384615384615385,cold_q0,True,5,24,1.1557830232848507e-05,0.08609019198304654,2.6437999913468957
120,0.1,5.7384615384615385,continuation,True,4,20,2.4997550752448827e-06,0.08609019240371134,2.1527999779209495
120,0.1,6.015384615384616,cold_q0,True,5,27,1.3155586700941295e-05,0.08607541201026733,2.953800023533404
120,0.1,6.015384615384616,continuation,True,4,21,2.908695475394751e-06,0.0860754124302838,2.15119996573776
120,0.1,6.292307692307693,cold_q0,True,6,31,4.680923330304283e-06,0.08606063240981875,3.4911000402644277
120,0.1,6.292307692307693,continuation,True,4,23,3.387312656356151e-06,0.08606063242797246,2.525900024920702
120,0.1,6.56923076923077,cold_q0,True,6,33,6.55053654209385e-06,0.08604585237867694,4.225999931804836
120,0.1,6.56923076923077,continuation,True,5,25,2.255595652991477e-06,0.08604585238280191,2.9230000218376517
120,0.1,6.846153846153847,cold_q0,True,6,37,9.41327515487261e-06,0.08603107231863609,4.091599956154823
