n,pv_share,lam,warm,adaptive,conv,k_out,k_in,t_ms,v_min
40,0.5,1.3076923076923077,True,False,True,3,9,0.228599994443357,0.9723428225700378
40,0.5,1.3076923076923077,True,True,True,5,7,0.35429990384727716,0.972342616663234
40,0.5,1.8615384615384616,False,False,True,4,20,0.3760999534279108,0.9548701241143404
40,0.5,1.8615384615384616,False,True,False,60,90,4.629199975170195,0.9525972307696009
40,0.5,1.8615384615384616,True,False,True,4,14,0.3111000405624509,0.9548701298319112
40,0.5,1.8615384615384616,True,True,True,5,7,0.2976000541821122,0.954870326140535
40,0.5,2.4153846153846157,False,False,True,4,20,0.7157999789342284,0.9367532747106989
40,0.5,2.4153846153846157,False,True,False,60,90,3.787199966609478,0.9324611040933958
40,0.5,2.4153846153846157,True,False,True,4,14,0.2981999423354864,0.9367533101720241
40,0.5,2.4153846153846157,True,True,True,7,10,0.41719991713762283,0.9367533064547712
40,0.5,2.9692307692307693,False,False,True,4,24,0.38330000825226307,0.9179174656124875
40,0.5,2.9692307692307693,False,True,False,60,89,6.420199992135167,0.924948370943332
40,0.5,2.9692307692307693,True,False,True,4,17,0.5657000001519918,0.9179175462227469
40,0.5,2.9692307692307693,True,True,True,7,10,1.082699978724122,0.9179175363978687
40,0.5,3.5230769230769234,False,False,True,4,27,0.9972999105229974,0.8982723736020306
40,0.5,3.5230769230769234,False,True,False,60,80,5.954699940048158,0.887100294575736
40,0.5,3.5230769230769234,True,False,True,4,18,0.5949999904260039,0.8982726712858833
40,0.5,3.5230769230769234,True,True,True,7,10,0.5098000401630998,0.8982724443390606
40,0.5,4.0769230769230775,False,False,True,5,35,0.5966000026091933,0.8777088893933798
40,0.5,4.0769230769230775,False,True,False,60,80,4.3154999148100615,0.8616444246907077
40,0.5,4.0769230769230775,True,False,True,5,22,0.4925999091938138,0.8777087894012092
40,0.5,4.0769230769230775,True,True,True,9,13,0.5819000070914626,0.8777089384717285
40,0.5,4.630769230769231,False,False,True,5,39,0.5888000596314669,0.8560864531898548
40,0.5,4.630769230769231,False,True,False,60,80,4.809700069017708,0.8338942787333145
40,0.5,4.630769230769231,True,False,True,5,24,0.5692000268027186,0.856086256755835
40,0.5,4.630769230769231,True,True,True,9,13,0.6547000957652926,0.8560866742323601
40,0.5,5.184615384615385,False,False,True,6,48,0.7779999868944287,0.8332274781365866
40,0.5,5.184615384615385,False,True,False,60,80,4.399199970066547,0.8034399280343143
40,0.5,5.184615384615385,True,False,True,5,28,0.5325000965967774,0.8332283592236331
40,0.5,5.184615384615385,True,True,True,11,16,0.7402999326586723,0.8332273712918948
40,0.5,5.7384615384615385,False,False,True,6,54,0.8341999491676688,0.8088991479378407
40,0.5,5.7384615384615385,False,True,False,60,80,4.495400004088879,0.7697361164257502
40,0.5,5.7384615384615385,True,False,True,6,34,0.5465000867843628,0.8088994077326864
40,0.5,5.7384615384615385,True,True,True,11,16,0.6400001002475619,0.8088987473867933
40,0.5,6.292307692307693,False,False,True,7,69,0.8746000239625573,0.782783842749009
40,0.5,6.292307692307693,False,True,False,60,75,5.259800003841519,0.7309248779762997
40,0.5,6.292307692307693,True,False,True,6,37,0.8957999525591731,0.7827827957022528
40,0.5,6.292307692307693,True,True,True,13,19,1.2396000092849135,0.782784060888242
40,0.5,6.846153846153847,False,False,True,7,76,1.4001000672578812,0.7544277657043273
40,0.5,6.846153846153847,False,True,False,60,75,5.744299967773259,0.68731218022729
40,0.5,6.846153846153847,True,False,True,7,46,1.1506000300869346,0.7544268725823379
40,0.5,6.846153846153847,True,True,True,15,22,1.5141000039875507,0.7544264612858933
40,0.5,7.4,False,False,True,9,108,1.478999969549477,0.7231436881894264
40,0.5,7.4,False,True,False,60,75,4.146900027990341,0.6363830138474986
40,0.5,7.4,True,False,True,8,57,0.8551999926567078,0.7231433227822527
40,0.5,7.4,True,True,True,17,25,1.1855000630021095,0.7231436698345752
40,0.5,7.953846153846155,False,False,True,11,153,2.1438999101519585,0.6878048912408671
40,0.5,7.953846153846155,False,True,False,60,72,6.539300084114075,0.5732510698736192
40,0.5,7.953846153846155,True,False,True,10,78,1.424300018697977,0.6878045381802926
40,0.5,7.953846153846155,True,True,True,19,28,1.3575999764725566,0.6878041008957931
40,0.5,8.507692307692308,False,False,True,15,252,3.0465000309050083,0.6462874637862522
40,0.5,8.507692307692308,False,True,False,60,72,4.492700099945068,0.49311381312064323
40,0.5,8.507692307692308,True,False,True,13,126,1.875600079074502,0.6462863980833224
40,0.5,8.507692307692308,True,True,True,26,45,2.3515999782830477,0.6462872348569997
40,0.5,9.061538461538461,False,False,True,38,808,11.808499926701188,0.593504776405335
40,0.5,9.061538461538461,False,True,False,60,70,5.537100019864738,0.37427188150192403
40,0.5,9.061538461538461,True,False,True,30,388,4.841899964958429,0.5935064194846928
40,0.5,9.061538461538461,True,True,True,52,102,4.282700014300644,0.5935047092954279
40,0.5,9.615384615384615,False,False,False,60,10017,110.14369991607964,0.46742309252702974
40,0.5,9.615384615384615,False,True,False,60,66,5.179100087843835,0.510891355530181
40,0.5,9.615384615384615,True,False,False,60,12167,127.0280999597162,0.4709376332899832
40,0.5,9.615384615384615,True,True,False,60,9833,107.28999995626509,0.9658214286318823
120,0.1,0.2,False,False,True,3,9,1.3686000602319837,0.9999928830043316
120,0.1,0.2,False,True,True,3,5,0.6451000226661563,0.999992883004332
120,0.1,0.2,True,False,True,3,8,0.9734000777825713,0.9999928830043316
120,0.1,0.2,True,True,True,3,5,0.659200013615191,0.9999928830043316
120,0.1,0.7538461538461538,False,False,True,3,12,1.1623000027611852,0.9894720244246752
120,0.1,0.7538461538461538,False,True,False,60,90,11.767199961468577,0.9896705111283637
120,0.1,0.7538461538461538,True,False,True,3,9,1.1811999138444662,0.9894720220523632
120,0.1,0.7538461538461538,True,True,True,3,6,0.79109997022897,0.9894725558180522
120,0.1,1.3076923076923077,False,False,True,3,12,1.3789000222459435,0.9725900016890661
120,0.1,1.3076923076923077,False,True,False,60,90,13.003100058995187,0.9735210187941479
120,0.1,1.3076923076923077,True,False,True,3,10,1.0697999969124794,0.9725899946323042
120,0.1,1.3076923076923077,True,True,True,4,7,1.0605000425130129,0.9725900722178866
120,0.1,1.8615384615384616,False,False,True,3,15,1.5254999743774533,0.9551304698188706
120,0.1,1.8615384615384616,False,True,False,60,90,12.831900035962462,0.9574117158190882
120,0.1,1.8615384615384616,True,False,True,3,11,1.2054999824613333,0.9551304559511988
