n,lam,z_rel,load_scale,p_tot,conv,k_in_12,k_in_6,k_pred,eta_emp,eta_r2,eta1,eta2,etainf,eta2_nom,v_min,feas_min
350,1.8615384615384616,1.0,1.547823266854434e-05,0.010084663900197735,True,10,5,8.488894918700145,0.054424297398470836,0.999904833795004,0.06847815306012572,0.05442019946043792,0.06711592505876968,0.04911491047243935,0.9426860888027774,708.9157413024341
350,2.138461538461539,1.0,1.547823266854434e-05,0.011584861835764342,True,11,5,8.99941897731156,0.06322275610456095,0.9999209032764999,0.08020724847197921,0.0635793677621026,0.07835028560545268,0.056421260790653446,0.9335788910233657,617.1137028603921
350,2.4153846153846157,1.0,1.547823266854434e-05,0.013085059771330947,True,11,6,9.522230808210194,0.0726459258219301,0.9999116270378458,0.09242242296540026,0.07307046938637378,0.08997296017425147,0.06372761110886759,0.9242970853417738,546.3618133604746
350,2.6923076923076925,1.0,1.547823266854434e-05,0.014585257706897552,True,12,6,10.069012867861934,0.0828747608621968,0.9999192619276552,0.10516172474316329,0.08291812652521138,0.10201197997216582,0.07103396142708164,0.9148304391983455,490.16459827196866
350,2.9692307692307693,1.0,1.547823266854434e-05,0.016085455642464157,True,12,6,10.602138671162669,0.0930785055474095,0.9999102378453271,0.11846773912927058,0.09314980651961817,0.11449856012247837,0.07834031174529581,0.9051676758628385,444.44976527251043
350,3.2461538461538466,1.0,1.547823266854434e-05,0.017585653578030765,True,13,7,11.128923652446904,0.10333041980040654,0.9999215820089681,0.13238833565516026,0.10379628064780402,0.12746760708137844,0.0856466620635099,0.895296318666055,406.5346194198791
350,3.5230769230769234,1.0,1.547823266854434e-05,0.01908585151359737,True,13,7,11.685709393879323,0.11434108255417554,0.9999131442072104,0.14697757559689356,0.11489217997651212,0.14095833249380435,0.09295301238172406,0.8852025039944457,374.5799331772685
350,3.8000000000000003,1.0,1.547823266854434e-05,0.020586049449163972,True,14,7,12.282789454227807,0.12628594476512492,0.9999181784083186,0.16229682329002829,0.12647667418886172,0.15501500172168878,0.10025936269993806,0.8748707550266205,347.28261011171867
350,4.0769230769230775,1.0,1.547823266854434e-05,0.02208624738473058,True,14,7,12.883477211447104,0.13833365288797683,0.9999090873862051,0.17841611889172568,0.13859430780386037,0.1696878544936716,0.10756571301815235,0.8642837056407321,323.6936026324321
350,4.353846153846154,1.0,1.547823266854434e-05,0.023586445320297186,True,15,8,13.495590377368062,0.15059874142087593,0.9999173784599455,0.19541589032392145,0.15129604007172717,0.1850342479764514,0.11487206333636638,0.8534217603759728,303.1053169526308
350,4.630769230769231,1.0,1.547823266854434e-05,0.02508664325586379,True,16,8,14.15597248945936,0.16380497263805247,0.9999079807881149,0.21338911062137667,0.16464055164672675,0.2011200907553723,0.1221784136545805,0.8422626713531544,284.97941759998173
350,4.907692307692308,1.0,1.547823266854434e-05,0.026586841191430396,True,16,8,14.878588691227124,0.1781686153389887,0.9999100814038442,0.23244404805517244,0.1786959053766072,0.21802166239220871,0.1294847639727946,0.8307810059197225,268.8990742871301
350,5.184615384615385,1.0,1.547823266854434e-05,0.028087039126997,True,17,9,15.611980263334122,0.19254730234630826,0.9999153043915074,0.2527078169206321,0.19354168411795464,0.23582795160241404,0.13679111429100868,0.8189474683920122,254.53651245577004
350,5.461538461538462,1.0,1.547823266854434e-05,0.029587237062563602,True,18,9,16.41499104903404,0.20806528122269904,0.9999043487253537,0.27433102773442053,0.20927178176962472,0.254643703505545,0.1440974646092228,0.8067280238032065,241.6304357678719
350,5.7384615384615385,1.0,1.547823266854434e-05,0.031087434998130208,True,19,9,17.308094040108163,0.22499729847133249,0.9999028629492329,0.2974939751290765,0.22599810536695247,0.27459345426761084,0.15140381492743693,0.7940827480344509,229.9699857844357
350,6.015384615384616,1.0,1.547823266854434e-05,0.03258763293369682,True,20,10,18.244952785441047,0.2423019417779301,0.9999049063724986,0.3224150215958307,0.24385557442805922,0.2958269693909983,0.158710165245651,0.7809642919966716,219.38313221891175
350,6.292307692307693,1.0,1.547823266854434e-05,0.034087830869263425,True,21,10,19.31648695053187,0.2615359350107763,0.999899959378796,0.34936219182237765,0.2630090114190258,0.31852672480021427,0.16601651556386524,0.7673157885630809,209.72812884497438
350,6.56923076923077,1.0,1.547823266854434e-05,0.03558802880483002,True,22,11,20.473308020595503,0.2815550365049373,0.9998981297960879,0.37866959014010937,0.2836628644882463,0.3429184420931525,0.17332286588207937,0.7530679330936481,200.88713043933137
350,6.846153846153847,1.0,1.547823266854434e-05,0.03708822674039663,True,23,11,21.81834144247405,0.3038830818880872,0.9998879006266912,0.410761294528113,0.3060753068597364,0.3692863349804922,0.18062921620029343,0.7381347997203486,192.76135887099892
350,7.1230769230769235,1.0,1.547823266854434e-05,0.03858842467596323,True,25,12,23.345343325210678,0.32797107532473513,0.9998889771432776,0.44618727559919114,0.33057935263419397,0.39799589462563756,0.18793556651850746,0.7224076516967775,185.26739675506374
350,7.4,1.0,1.547823266854434e-05,0.040088622611529845,True,26,13,25.105151608182418,0.35411457714237826,0.9998760467211044,0.4856795249480649,0.3576157248969411,0.42952927859639,0.1952419168367216,0.7057454273102037,178.33431330061228
